Table for Chart 2: % Complete by Frame Threshold (Long Format),,,
Scenario,Frame Threshold,% Complete,
Scenario 3,200,76.19%,
Scenario 3,300,100.00%,
Scenario 3,400,100.00%,
Scenario 4,200,76.19%,
Scenario 4,300,100.00%,
Scenario 4,400,100.00%,
Scenario 5,200,28.57%,
Scenario 5,300,33.33%,
Scenario 5,400,33.33%,
,,,
Table for Chart 2: % Complete by Frame Threshold (Wide Format for Chart),,,
Frame Threshold,Scenario 3,Scenario 4,Scenario 5
200,76.19%,76.19%,28.57%
300,100.00%,100.00%,33.33%
400,100.00%,100.00%,33.33%
,,,
Table for Chart 3: Milestone Completion Frames,,,
Suitcase Milestone,Scenario 3,Scenario 4,Scenario 5
3,70,70,161
6,90,90,191
9,130,130,436
12,150,150,551
15,190,190,611
18,210,210,641
21,270,270,731
,,,
Table for Chart 4: Cumulative Storage Progress,,,
Frame,Scenario 3,Scenario 4,Scenario 5
50,2,2,0
100,4,4,0
150,6,6,2
200,4,4,4
250,4,4,1
300,1,1,0
350,0,0,0
400,0,0,0
450,0,0,2
500,0,0,0
550,0,0,1
600,0,0,4
650,0,0,4
700,0,0,1
