Suitcase Name,Start Frame,End Frame,Duration
CurrentSuitcase_1_1.381,160,210,50
CurrentSuitcase_1_2.381,140,190,50
CurrentSuitcase_1_3.381,100,150,50
CurrentSuitcase_2_1.381,60,110,50
CurrentSuitcase_2_2.381,0,50,50
CurrentSuitcase_2_3.381,120,170,50
CurrentSuitcase_3_1.381,40,90,50
CurrentSuitcase_3_2.381,80,130,50
CurrentSuitcase_3_3.381,20,70,50
OptimisedSuitcase_1_1.381,160,210,50
OptimisedSuitcase_1_2.381,40,90,50
OptimisedSuitcase_1_3.381,140,190,50
OptimisedSuitcase_1_4.381,120,170,50
OptimisedSuitcase_2_1.381,220,270,50
OptimisedSuitcase_2_2.381,180,230,50
OptimisedSuitcase_2_3.381,80,130,50
OptimisedSuitcase_2_4.381,0,50,50
OptimisedSuitcase_3_1.381,100,150,50
OptimisedSuitcase_3_2.381,60,110,50
OptimisedSuitcase_3_3.381,200,250,50
OptimisedSuitcase_3_4.381,20,70,50
